Home \ Away,ARS,AVL,BOU,BRE,BHA,BUR,CHE,CRY,EVE,FUL,LIV,LUT,MCI,MUN,NEW,NFO,SHU,TOT,WHU,WOL
Arsenal,,0~2,3~0,2~1,2~0,3~1,5~0,5~0,2~1,2~2,3~1,2~0,1~0,3~1,4~1,2~1,5~0,2~2,0~2,2~1
Aston Villa,1~0,,3~1,3~3,6~1,3~2,2~2,3~1,4~0,3~1,3~3,3~1,1~0,1~2,1~3,4~2,1~1,0~4,4~1,2~0
Bournemouth,0~4,2~2,,1~2,3~0,2~1,0~0,1~0,2~1,3~0,0~4,4~3,0~1,2~2,2~0,1~1,2~2,0~2,1~1,1~2
Brentford,0~1,1~2,2~2,,0~0,3~0,2~2,1~1,1~3,0~0,1~4,3~1,1~3,1~1,2~4,3~2,2~0,2~2,3~2,1~4
Brighton & Hove Albion,0~3,1~0,3~1,2~1,,1~1,1~2,4~1,1~1,1~1,2~2,4~1,0~4,0~2,3~1,1~0,1~1,4~2,1~3,0~0
Burnley,0~5,1~3,0~2,2~1,1~1,,1~4,0~2,0~2,2~2,0~2,1~1,0~3,0~1,1~4,1~2,5~0,2~5,1~2,1~1
Chelsea,2~2,0~1,2~1,0~2,3~2,2~2,,2~1,6~0,1~0,1~1,3~0,4~4,4~3,3~2,0~1,2~0,2~0,5~0,2~4
Crystal Palace,0~1,5~0,0~2,3~1,1~1,3~0,1~3,,2~3,0~0,1~2,1~1,2~4,4~0,2~0,0~0,3~2,1~2,5~2,3~2
Everton,0~1,0~0,3~0,1~0,1~1,1~0,2~0,1~1,,0~1,2~0,1~2,1~3,0~3,3~0,2~0,1~0,2~2,1~3,0~1
Fulham,2~1,1~2,3~1,0~3,3~0,0~2,0~2,1~1,0~0,,1~3,1~0,0~4,0~1,0~1,5~0,3~1,3~0,5~0,3~2
Liverpool,1~1,3~0,3~1,3~0,2~1,3~1,4~1,0~1,2~0,4~3,,4~1,1~1,0~0,4~2,3~0,3~1,4~2,3~1,2~0
Luton Town,3~4,2~3,2~1,1~5,4~0,1~2,2~3,2~1,1~1,2~4,1~1,,1~2,1~2,1~0,1~1,1~3,0~1,1~2,1~1
Manchester City,0~0,4~1,6~1,1~0,2~1,3~1,1~1,2~2,2~0,5~1,1~1,5~1,,3~1,1~0,2~0,2~0,3~3,3~1,5~1
Manchester United,0~1,3~2,0~3,2~1,1~3,1~1,2~1,0~1,2~0,1~2,2~2,1~0,0~3,,3~2,3~2,4~2,2~2,3~0,1~0
Newcastle United,1~0,5~1,2~2,1~0,1~1,2~0,4~1,4~0,1~1,3~0,1~2,4~4,2~3,1~0,,1~3,5~1,4~0,4~3,3~0
Nottingham Forest,1~2,2~0,2~3,1~1,2~3,1~1,2~3,1~1,0~1,3~1,0~1,2~2,0~2,2~1,2~3,,2~1,0~2,2~0,2~2
Sheffield United,0~6,0~5,1~3,1~0,0~5,1~4,2~2,0~1,2~2,3~3,0~2,2~3,1~2,1~2,0~8,1~3,,0~3,2~2,2~1
Tottenham Hotspur,2~3,1~2,3~1,3~2,2~1,2~1,1~4,3~1,2~1,2~0,2~1,2~1,0~2,2~0,4~1,3~1,2~1,,1~2,1~2
West Ham United,0~6,1~1,1~1,4~2,0~0,2~2,3~1,1~1,0~1,0~2,2~2,3~1,1~3,2~0,2~2,3~2,2~0,1~1,,3~0
Wolverhampton Wanderers,0~2,1~1,0~1,0~2,1~4,1~0,2~1,1~3,3~0,2~1,1~3,2~1,2~1,3~4,2~2,1~1,1~0,2~1,1~2,
