"Home...Away","ATA","BOL","CAG","EMP","FIO","GEN","INT","JUV","LAZ","MIL","NAP","ROM","SAL","SAM","SAS","SPE","TOR","UDI","VEN","VER"
"Atalanta",NA,"0~0","1~2","0~1","1~2","0~0","0~0","1~1","2~2","2~3","1~3","1~4","1~1","4~0","2~1","5~2","4~4","1~1","4~0","1~2"
"Bologna","0~1",NA,"2~0","0~0","2~3","2~2","2~1","0~2","3~0","2~4","0~2","1~0","3~2","2~0","1~3","2~1","0~0","2~2","0~1","1~0"
"Cagliari","1~2","2~1",NA,"0~2","1~1","2~3","1~3","1~2","0~3","0~1","1~1","1~2","1~1","3~1","1~0","2~2","1~1","0~4","1~1","1~2"
"Empoli","1~4","4~2","1~1",NA,"2~1","2~2","0~2","2~3","1~3","2~4","3~2","2~4","1~1","0~3","1~5","0~0","1~3","3~1","1~2","1~1"
"Fiorentina","1~0","1~0","3~0","1~0",NA,"6~0","1~3","2~0","0~3","4~3","1~2","2~0","4~0","3~1","2~2","3~0","2~1","0~4","1~0","1~1"
"Genoa","0~0","0~1","1~0","0~0","1~2",NA,"0~0","2~1","1~4","0~3","1~2","0~2","1~1","1~3","2~2","0~1","1~0","0~0","0~0","3~3"
"Inter","2~2","6~1","4~0","4~2","1~1","4~0",NA,"1~1","2~1","1~2","3~2","3~1","5~0","3~0","0~2","2~0","1~0","2~0","2~1","2~0"
"Juventus","0~1","1~1","2~0","0~1","1~0","2~0","0~1",NA,"2~2","1~1","1~1","1~0","2~0","3~2","1~2","1~0","1~1","2~0","2~1","2~0"
"Lazio","0~0","3~0","2~2","3~3","1~0","3~1","3~1","0~2",NA,"1~2","1~2","3~2","3~0","2~0","2~1","6~1","1~1","4~4","1~0","3~3"
"Milan","2~0","0~0","4~1","1~0","1~0","2~0","1~1","0~0","2~0",NA,"0~1","3~1","2~0","1~0","1~3","1~2","1~0","1~1","2~0","3~2"
"Napoli","2~3","3~0","2~0","0~1","2~3","3~0","1~1","2~1","4~0","0~1",NA,"1~1","4~1","1~0","6~1","0~1","1~0","2~1","2~0","1~1"
"Roma","1~0","0~0","1~0","2~0","3~1","0~0","0~3","3~4","3~0","1~2","0~0",NA,"2~1","1~1","2~1","2~0","1~0","1~0","1~1","2~2"
"Salernitana","0~1","1~1","1~1","2~4","2~1","1~0","0~5","0~2","0~3","2~2","0~1","0~4",NA,"0~2","2~2","2~2","0~1","0~4","2~1","2~2"
"Sampdoria","1~3","1~2","1~2","2~0","4~1","1~0","2~2","1~3","1~3","0~1","0~4","0~1","1~2",NA,"4~0","2~1","1~2","3~3","1~1","3~1"
"Sassuolo","2~1","0~3","2~2","1~2","2~1","1~1","1~2","1~2","2~1","0~3","2~2","2~2","1~0","0~0",NA,"4~1","0~1","1~1","3~1","2~4"
"Spezia","1~3","0~1","2~0","1~1","1~2","1~1","1~3","2~3","3~4","1~2","0~3","0~1","2~1","1~0","2~2",NA,"1~0","0~1","1~0","1~2"
"Torino","1~2","2~1","1~2","2~2","4~0","3~2","1~1","0~1","1~1","0~0","0~1","0~3","4~0","3~0","1~1","2~1",NA,"2~1","1~2","1~0"
"Udinese","2~6","1~1","5~1","4~1","0~1","0~0","1~2","2~2","1~1","1~1","0~4","1~1","0~1","2~1","3~2","2~3","2~0",NA,"3~0","1~1"
"Venezia","1~3","4~3","0~0","1~1","1~0","1~1","0~2","1~1","1~3","0~3","0~2","3~2","1~2","0~2","1~4","1~2","1~1","1~2",NA,"3~4"
"Verona","1~2","2~1","0~0","2~1","1~1","1~0","1~3","2~1","4~1","1~3","1~2","3~2","1~2","1~1","2~3","4~0","0~1","4~0","3~1",NA
